id,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
DJ,144,142,216,176,270,557,174,596,458,382,309,799,1390,761,735,980,739,1183,1045,2157,2085,5064,2661,3093,3108,2115,2259,3485,3450,7725,8573,5441,10807,6459,7543,11104,26366,24283,22748,2372
DA,596,612,973,1031,1170,1146,1120,1383,1205,1157,888,872,1303,1613,2437,2567,4268,4977,7172,7106,6864,7715,8046,14351,8623,8756,6748,18330,15435,22313,87194,39693,38782,41572,34331,55782,100695,107080,83552,11151
GH,753,594,484,1122,1040,521,1143,1374,1484,1503,1470,1684,1629,636,573,1876,2221,3439,2950,5523,6880,8686,13266,16577,25865,19509,14618,20989,19060,27260,121744,105458,141141,147503,124326,167524,251678,316219,317442,41889
JE,4,63,80,71,74,106,93,56,68,89,40,47,41,55,77,81,97,132,89,72,127,150,170,205,119,154,164,822,2447,4345,6661,13783,25579,32144,18901,37018,61471,71397,56160,8983
CQ,52,36,94,86,105,73,47,96,94,86,83,154,415,385,355,527,738,1569,3274,4332,6251,6355,8326,8277,9630,9252,8579,12736,16838,27485,47867,40327,57029,70239,66653,96322,328,567,320,94
LQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,9,2,4,0,7,2,10,9,12,11,2
MY,1659,1237,1140,1276,1389,1407,2106,2369,2498,2543,2272,1772,3530,3094,4020,6799,5867,11649,17660,27944,20361,31789,28395,26017,30862,23442,19383,38906,68606,88791,152934,126095,154022,168807,232954,420810,471146,416416,366968,44753
BA,296,273,482,563,523,781,510,675,1541,1226,666,1026,1653,965,838,1875,2594,7763,4126,3361,3906,4207,5456,5461,7034,5196,2552,5086,13670,18848,25763,27330,114272,79987,58429,72139,71817,86597,86353,8705
BO,121,88,82,113,43,80,131,188,127,150,203,177,1548,2157,1592,2330,3388,11985,19882,14757,18699,16534,18072,12348,11250,11707,9694,17960,14773,16482,37917,38298,55086,56920,53480,62059,100603,88662,87110,8160
IV,163,234,230,169,295,284,561,363,380,392,359,1582,1075,550,1124,931,1858,1944,1943,2759,5447,11363,8269,16996,22500,14199,7341,7902,7361,6231,9287,23317,60203,19803,10594,12911,20027,26484,22736,1800
SG,487,518,1015,559,408,701,727,722,1099,799,1378,1030,1345,1365,852,1027,1307,1149,2603,5723,3605,6053,6724,5848,5953,4212,3632,6152,8487,8643,15204,9624,12704,19825,19081,22567,28961,32287,32490,4691
TN,11,24,13,22,1,17,26,42,27,120,30,52,46,43,41,108,95,279,195,467,367,229,283,510,653,810,630,2130,1754,1728,5630,3303,4107,3789,2317,4423,7826,8985,8229,1624
YI,447,354,209,160,231,221,350,338,259,221,192,294,1427,1898,1824,1682,2085,2353,2112,5560,13067,7029,5534,2226,1078,672,587,600,859,1034,1061,699,1512,853,625,782,1423,1929,1941,206
WI,168,88,260,176,209,175,139,101,111,256,95,54,227,142,145,141,119,166,402,607,565,612,688,802,655,622,698,672,1057,577,2584,1983,1485,1677,3761,3311,5624,6700,4070,512
CW,11,3,0,9,5,21,106,50,83,28,9,16,31,37,14,18,168,133,212,69,160,139,246,232,102,203,89,249,254,334,981,848,1023,2541,935,1109,6225,6332,4974,614
NC,1,14,31,10,33,347,614,162,241,991,144,37,76,34,12,8,67,196,181,517,121,94,111,255,272,157,138,160,199,334,837,520,846,788,844,1035,1882,2497,2724,293
TV,3,15,2,4,5,23,44,20,26,24,0,15,16,21,25,21,7,42,65,53,37,173,145,126,111,203,168,158,235,218,1289,602,1090,1058,632,741,2766,1520,1493,181
BQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,3,3,0
OD,0,0,0,0,0,0,28,51,3,68,28,15,23,28,3,7,72,34,85,106,120,79,36,37,29,99,115,969,1227,2118,4781,3747,19480,19498,43875,89120,77304,92483,62916,7486
ES,935,3020,8278,13023,18371,16496,8287,7036,8229,5810,10398,5121,4927,3137,2627,1483,1378,1691,2077,1851,1995,2536,2786,1303,2053,2672,1800,1635,3910,5154,12936,9164,11797,10769,9152,23398,30188,32029,30076,9002
LI,668,1232,565,375,1008,803,1459,1239,932,798,545,7656,2703,2397,2686,3499,2949,9046,6174,12665,15252,10995,9488,16462,33900,16546,18940,27121,16738,20959,23403,20009,28258,23800,26074,93217,82951,82437,64955,8950
MD,11,1,1,12,21,21,4,38,35,20,255,624,1415,5384,1295,1767,2399,3660,7733,4757,4230,6930,8216,8182,8436,6423,6057,8087,7947,6082,17884,8651,8292,8314,11766,23175,21507,28637,26539,2268
RE,3,4,6,1,4,22,34,14,22,12,41,8,17,9,7,17,14,26,15,53,37,57,51,56,45,55,32,132,160,249,438,545,636,949,680,1061,6168,3784,2569,324
SL,175,278,182,84,185,57,248,277,270,235,218,1235,1096,750,417,867,2227,4219,9242,12325,21564,22846,15348,9950,7555,7087,6491,10825,7714,8828,21254,19391,26612,22562,17069,58378,50434,41873,39587,4928
UZ,209,169,174,315,298,210,168,300,315,714,926,809,1252,2745,1455,1693,2174,4286,5841,7996,10732,11158,13741,13244,13329,16433,15838,12002,14412,11939,19828,24072,20505,18605,19119,23764,39002,41752,41853,4801
WA,919,926,2395,1679,1825,2271,1759,1460,1632,3520,5992,2805,1667,1030,899,988,879,1747,5032,11939,13799,14519,10721,10242,12186,16170,17201,20865,16150,19214,23354,20010,30998,26281,27389,39955,60840,48139,40391,6933
KG,28,13,50,39,22,37,48,68,59,48,31,351,476,1236,853,940,1475,3092,4099,4556,9195,9113,10579,15431,12218,8658,16351,13303,16869,11198,22214,45432,28649,24444,27928,32856,44748,46173,40623,4516
KR,14,14,10,4,26,24,90,56,90,25,33,49,31,28,3,29,59,83,91,137,200,287,133,163,287,192,222,193,343,543,980,1182,1319,1632,1925,2035,5097,3513,3253,883
IO,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,38,6,0,5,20,2,18,32,77,49,114,40,41,46,146,252,267,142,14
AC,17,32,45,130,113,53,59,130,48,54,69,230,58,26,57,322,228,267,293,167,170,134,172,479,533,649,398,299,402,1497,2964,1428,2034,2652,2438,3383,8939,11119,10743,1270
AE,306,366,649,582,594,802,741,971,1726,1040,551,1036,1850,1058,1107,1944,3382,3400,4358,4213,6865,5760,6972,5100,7012,5972,3644,11743,42468,56466,103950,78061,88332,102432,100985,140098,200203,205917,197350,28542
PM,791,1123,752,1008,3982,2813,2305,2284,4483,10593,9841,5582,1739,1440,906,2618,1471,3094,5550,2923,4795,5130,2577,1886,2780,2630,1282,1610,9711,10989,9955,11518,15323,15187,22017,27443,46266,93357,64632,6380
